auth_name,code,name,description,scope,coordinate_system_auth_name,coordinate_system_code,geodetic_crs_auth_name,geodetic_crs_code,conversion_auth_name,conversion_code,area_of_use_auth_name,area_of_use_code,text_definition,deprecated
EPSG,2063,Dabola 1981 / UTM zone 28N,,,EPSG,4400,EPSG,4315,EPSG,16028,EPSG,1468,,1
EPSG,2064,Dabola 1981 / UTM zone 29N,,,EPSG,4400,EPSG,4315,EPSG,16029,EPSG,1469,,1
EPSG,2065,S-JTSK (Ferro) / Krovak,,,EPSG,6501,EPSG,4818,EPSG,19952,EPSG,1306,,0
EPSG,2066,Mount Dillon / Tobago Grid,,,EPSG,4407,EPSG,4157,EPSG,19924,EPSG,1322,,0
EPSG,2067,Naparima 1955 / UTM zone 20N,,,EPSG,4400,EPSG,4158,EPSG,16020,EPSG,3143,,0
EPSG,2068,ELD79 / Libya zone 5,,,EPSG,4499,EPSG,4159,EPSG,18240,EPSG,1470,,0
EPSG,2069,ELD79 / Libya zone 6,,,EPSG,4499,EPSG,4159,EPSG,18241,EPSG,1471,,0
EPSG,2070,ELD79 / Libya zone 7,,,EPSG,4499,EPSG,4159,EPSG,18242,EPSG,1472,,0
EPSG,2071,ELD79 / Libya zone 8,,,EPSG,4499,EPSG,4159,EPSG,18243,EPSG,1473,,0
EPSG,2072,ELD79 / Libya zone 9,,,EPSG,4499,EPSG,4159,EPSG,18244,EPSG,1474,,0
EPSG,2073,ELD79 / Libya zone 10,,,EPSG,4499,EPSG,4159,EPSG,18245,EPSG,1475,,0
EPSG,2074,ELD79 / Libya zone 11,,,EPSG,4499,EPSG,4159,EPSG,18246,EPSG,1476,,0
EPSG,2075,ELD79 / Libya zone 12,,,EPSG,4499,EPSG,4159,EPSG,18247,EPSG,1477,,0
EPSG,2076,ELD79 / Libya zone 13,,,EPSG,4499,EPSG,4159,EPSG,18248,EPSG,1478,,0
EPSG,2077,ELD79 / UTM zone 32N,,,EPSG,4400,EPSG,4159,EPSG,16032,EPSG,1479,,0
EPSG,2078,ELD79 / UTM zone 33N,,,EPSG,4400,EPSG,4159,EPSG,16033,EPSG,1480,,0
EPSG,2079,ELD79 / UTM zone 34N,,,EPSG,4400,EPSG,4159,EPSG,16034,EPSG,1481,,0
EPSG,2080,ELD79 / UTM zone 35N,,,EPSG,4400,EPSG,4159,EPSG,16035,EPSG,1478,,0
EPSG,2081,Chos Malal 1914 / Argentina 2,,,EPSG,4530,EPSG,4160,EPSG,18032,EPSG,1483,,0
EPSG,2082,Pampa del Castillo / Argentina 2,,,EPSG,4530,EPSG,4161,EPSG,18032,EPSG,1484,,0
EPSG,2083,Hito XVIII 1963 / Argentina 2,,,EPSG,4530,EPSG,4254,EPSG,18032,EPSG,1485,,0
EPSG,2084,Hito XVIII 1963 / UTM zone 19S,,,EPSG,4400,EPSG,4254,EPSG,16119,EPSG,2596,,0
EPSG,2085,NAD27 / Cuba Norte,,,EPSG,4532,EPSG,4267,EPSG,18061,EPSG,1487,,1
EPSG,2086,NAD27 / Cuba Sur,,,EPSG,4532,EPSG,4267,EPSG,18062,EPSG,1488,,1
EPSG,2087,ELD79 / TM 12 NE,,,EPSG,4400,EPSG,4159,EPSG,16412,EPSG,1482,,0
EPSG,2088,Carthage / TM 11 NE,,,EPSG,4400,EPSG,4223,EPSG,16411,EPSG,1489,,0
EPSG,2089,Yemen NGN96 / UTM zone 38N,,,EPSG,4400,EPSG,4163,EPSG,16038,EPSG,1490,,0
EPSG,2090,Yemen NGN96 / UTM zone 39N,,,EPSG,4400,EPSG,4163,EPSG,16039,EPSG,1491,,0
EPSG,2091,South Yemen / Gauss Kruger zone 8,,,EPSG,4530,EPSG,4164,EPSG,16208,EPSG,1492,,1
EPSG,2092,South Yemen / Gauss Kruger zone 9,,,EPSG,4530,EPSG,4164,EPSG,16209,EPSG,1493,,1
EPSG,2093,Hanoi 1972 / GK 106 NE,,,EPSG,4530,EPSG,4147,EPSG,16586,EPSG,1494,,0
EPSG,2094,WGS 72BE / TM 106 NE,,,EPSG,4400,EPSG,4324,EPSG,16506,EPSG,1495,,0
EPSG,2095,Bissau / UTM zone 28N,,,EPSG,4400,EPSG,4165,EPSG,16028,EPSG,3258,,0
EPSG,2096,Korean 1985 / East Belt,,,EPSG,4530,EPSG,4162,EPSG,18251,EPSG,1496,,0
EPSG,2097,Korean 1985 / Central Belt,,,EPSG,4530,EPSG,4162,EPSG,18252,EPSG,3730,,0
EPSG,2098,Korean 1985 / West Belt,,,EPSG,4530,EPSG,4162,EPSG,18253,EPSG,1498,,0
EPSG,2099,Qatar 1948 / Qatar Grid,,,EPSG,4400,EPSG,4286,EPSG,19953,EPSG,1346,,0
EPSG,2100,GGRS87 / Greek Grid,,,EPSG,4400,EPSG,4121,EPSG,19930,EPSG,3254,,0
EPSG,2101,Lake / Maracaibo Grid M1,,,EPSG,4499,EPSG,4249,EPSG,18260,EPSG,1319,,0
EPSG,2102,Lake / Maracaibo Grid,,,EPSG,4499,EPSG,4249,EPSG,18261,EPSG,1319,,0
EPSG,2103,Lake / Maracaibo Grid M3,,,EPSG,4499,EPSG,4249,EPSG,18262,EPSG,1319,,0
EPSG,2104,Lake / Maracaibo La Rosa Grid,,,EPSG,4499,EPSG,4249,EPSG,18263,EPSG,1499,,0
EPSG,2105,NZGD2000 / Mount Eden 2000,,,EPSG,4500,EPSG,4167,EPSG,17931,EPSG,3781,,0
EPSG,2106,NZGD2000 / Bay of Plenty 2000,,,EPSG,4500,EPSG,4167,EPSG,17932,EPSG,3779,,0
EPSG,2107,NZGD2000 / Poverty Bay 2000,,,EPSG,4500,EPSG,4167,EPSG,17933,EPSG,3780,,0
EPSG,2108,NZGD2000 / Hawkes Bay 2000,,,EPSG,4500,EPSG,4167,EPSG,17934,EPSG,3772,,0
EPSG,2109,NZGD2000 / Taranaki 2000,,,EPSG,4500,EPSG,4167,EPSG,17935,EPSG,3777,,0
EPSG,2110,NZGD2000 / Tuhirangi 2000,,,EPSG,4500,EPSG,4167,EPSG,17936,EPSG,3778,,0
EPSG,2111,NZGD2000 / Wanganui 2000,,,EPSG,4500,EPSG,4167,EPSG,17937,EPSG,3776,,0
EPSG,2112,NZGD2000 / Wairarapa 2000,,,EPSG,4500,EPSG,4167,EPSG,17938,EPSG,3775,,0
EPSG,2113,NZGD2000 / Wellington 2000,,,EPSG,4500,EPSG,4167,EPSG,17939,EPSG,3774,,0
EPSG,2114,NZGD2000 / Collingwood 2000,,,EPSG,4500,EPSG,4167,EPSG,17940,EPSG,3782,,0
EPSG,2115,NZGD2000 / Nelson 2000,,,EPSG,4500,EPSG,4167,EPSG,17941,EPSG,3784,,0
EPSG,2116,NZGD2000 / Karamea 2000,,,EPSG,4500,EPSG,4167,EPSG,17942,EPSG,3783,,0
EPSG,2117,NZGD2000 / Buller 2000,,,EPSG,4500,EPSG,4167,EPSG,17943,EPSG,3786,,0
EPSG,2118,NZGD2000 / Grey 2000,,,EPSG,4500,EPSG,4167,EPSG,17944,EPSG,3787,,0
EPSG,2119,NZGD2000 / Amuri 2000,,,EPSG,4500,EPSG,4167,EPSG,17945,EPSG,3788,,0
EPSG,2120,NZGD2000 / Marlborough 2000,,,EPSG,4500,EPSG,4167,EPSG,17946,EPSG,3785,,0
EPSG,2121,NZGD2000 / Hokitika 2000,,,EPSG,4500,EPSG,4167,EPSG,17947,EPSG,3789,,0
EPSG,2122,NZGD2000 / Okarito 2000,,,EPSG,4500,EPSG,4167,EPSG,17948,EPSG,3791,,0
EPSG,2123,NZGD2000 / Jacksons Bay 2000,,,EPSG,4500,EPSG,4167,EPSG,17949,EPSG,3794,,0
EPSG,2124,NZGD2000 / Mount Pleasant 2000,,,EPSG,4500,EPSG,4167,EPSG,17950,EPSG,3790,,0
EPSG,2125,NZGD2000 / Gawler 2000,,,EPSG,4500,EPSG,4167,EPSG,17951,EPSG,3792,,0
EPSG,2126,NZGD2000 / Timaru 2000,,,EPSG,4500,EPSG,4167,EPSG,17952,EPSG,3793,,0
EPSG,2127,NZGD2000 / Lindis Peak 2000,,,EPSG,4500,EPSG,4167,EPSG,17953,EPSG,3795,,0
EPSG,2128,NZGD2000 / Mount Nicholas 2000,,,EPSG,4500,EPSG,4167,EPSG,17954,EPSG,3797,,0
EPSG,2129,NZGD2000 / Mount York 2000,,,EPSG,4500,EPSG,4167,EPSG,17955,EPSG,3799,,0
EPSG,2130,NZGD2000 / Observation Point 2000,,,EPSG,4500,EPSG,4167,EPSG,17956,EPSG,3796,,0
EPSG,2131,NZGD2000 / North Taieri 2000,,,EPSG,4500,EPSG,4167,EPSG,17957,EPSG,3798,,0
EPSG,2132,NZGD2000 / Bluff 2000,,,EPSG,4500,EPSG,4167,EPSG,17958,EPSG,3800,,0
EPSG,2133,NZGD2000 / UTM zone 58S,,,EPSG,4400,EPSG,4167,EPSG,16158,EPSG,1502,,0
EPSG,2134,NZGD2000 / UTM zone 59S,,,EPSG,4400,EPSG,4167,EPSG,16159,EPSG,1503,,0
EPSG,2135,NZGD2000 / UTM zone 60S,,,EPSG,4400,EPSG,4167,EPSG,16160,EPSG,1504,,0
EPSG,2136,Accra / Ghana National Grid,,,EPSG,4404,EPSG,4168,EPSG,19959,EPSG,3252,,0
EPSG,2137,Accra / TM 1 NW,,,EPSG,4400,EPSG,4168,EPSG,17001,EPSG,1505,,0
EPSG,2138,NAD27(CGQ77) / Quebec Lambert,,,EPSG,4499,EPSG,4609,EPSG,19944,EPSG,1368,,0
EPSG,2139,NAD83(CSRS98) / SCoPQ zone 2,,,EPSG,4499,EPSG,4140,EPSG,17700,EPSG,1420,,1
EPSG,2140,NAD83(CSRS98) / MTM zone 3,,,EPSG,4496,EPSG,4140,EPSG,17703,EPSG,1421,,1
EPSG,2141,NAD83(CSRS98) / MTM zone 4,,,EPSG,4496,EPSG,4140,EPSG,17704,EPSG,1422,,1
EPSG,2142,NAD83(CSRS98) / MTM zone 5,,,EPSG,4496,EPSG,4140,EPSG,17705,EPSG,1423,,1
EPSG,2143,NAD83(CSRS98) / MTM zone 6,,,EPSG,4496,EPSG,4140,EPSG,17706,EPSG,1424,,1
EPSG,2144,NAD83(CSRS98) / MTM zone 7,,,EPSG,4496,EPSG,4140,EPSG,17707,EPSG,1425,,1
EPSG,2145,NAD83(CSRS98) / MTM zone 8,,,EPSG,4496,EPSG,4140,EPSG,17708,EPSG,1426,,1
EPSG,2146,NAD83(CSRS98) / MTM zone 9,,,EPSG,4496,EPSG,4140,EPSG,17709,EPSG,1427,,1
EPSG,2147,NAD83(CSRS98) / MTM zone 10,,,EPSG,4496,EPSG,4140,EPSG,17710,EPSG,1428,,1
